client_id,recency,frequency,monetary,cluster
user_1,373,5,101618,3
user_10,226,6,239816,2
user_100,244,7,155838,0
user_1001,78,7,185446,0
user_1002,76,7,207102,2
user_1003,113,10,182870,2
user_1004,23,9,101292,0
user_1005,20,5,175237,0
user_1006,79,4,124336,0
user_1007,31,3,74221,3
user_1008,98,4,104910,3
user_1009,13,9,193213,2
user_101,145,9,249369,2
user_1010,4,10,250064,2
user_1011,635,1,2759,1
user_1012,19,7,96805,0
user_1013,203,7,127991,0
user_1015,141,9,209087,2
user_1016,295,5,96024,3
user_1017,314,2,65223,3
user_1018,293,7,197485,0
user_1019,5,5,127551,0
user_102,318,1,31827,3
user_1021,48,10,276274,2
user_1022,708,2,74494,1
user_1023,264,10,326909,2
user_1024,91,10,195797,2
user_1025,358,3,65623,1
user_1026,124,7,111637,0
user_1027,184,4,95107,3
user_1028,469,2,16646,1
user_1029,49,7,108868,0
user_103,9,10,209006,2
user_1030,124,5,131523,0
user_1031,386,2,36732,1
user_1032,44,8,168168,0
user_1033,69,2,61231,3
user_1034,54,10,229120,2
user_1035,80,9,219219,2
user_1036,34,5,117826,0
user_1037,463,3,86997,1
user_1038,79,10,231683,2
user_1039,22,9,185692,2
user_104,290,2,77880,3
user_1040,9,9,243560,2
user_1041,92,6,163375,0
user_1042,18,8,193720,2
user_1043,184,9,217935,2
user_1044,42,8,221090,2
user_1045,6,3,44688,3
user_1046,32,5,97525,0
user_1047,79,8,183465,2
user_1048,140,8,194399,2
user_1049,18,8,232257,2
user_105,154,3,54936,3
user_1050,18,5,131387,0
user_1051,168,5,176321,0
user_1052,481,3,34260,1
user_1053,699,1,35668,1
user_1054,271,4,104429,3
user_1055,16,10,252122,2
user_1057,26,4,97422,0
user_1058,124,4,111955,3
user_1059,293,7,194015,0
user_106,59,9,224283,2
user_1060,305,7,154900,0
user_1061,21,9,242607,2
user_1062,18,5,141735,0
user_1063,11,9,197843,2
user_1064,24,10,299628,2
user_1065,509,1,3555,1
user_1066,51,4,116617,0
user_1067,64,9,236289,2
user_1068,93,9,210458,2
user_1069,805,1,33775,1
user_107,18,1,26259,3
user_1070,154,10,193040,2
user_1071,298,8,239502,2
user_1072,67,6,159010,0
user_1073,86,8,95947,0
user_1074,269,2,36438,3
user_1075,253,6,154347,0
user_1076,333,3,79923,3
user_1077,148,10,305233,2
user_1078,405,8,189899,2
user_1079,40,9,286469,2
user_108,272,4,62075,3
user_1081,238,8,190168,2
user_1082,764,1,19755,1
