client_id,recency,frequency,monetary,cluster,predicted_ltv
user_1,373,5,101618,3,453876.92307692306
user_10,226,6,239816,2,2023447.5
user_100,244,7,155838,0,1433254.5985401461
user_1001,78,7,185446,0,4327073.333333333
user_1002,76,7,207102,2,4923556.981132075
user_1003,113,10,182870,2,4603720.279720279
user_1004,23,9,101292,0,6192190.188679245
user_1005,20,5,175237,0,6308532.000000001
user_1006,79,4,124336,0,1642604.0366972478
user_1007,31,3,74221,3,1314076.7213114754
user_1008,98,4,104910,3,1180237.5
user_1009,13,9,193213,2,14558374.88372093
user_101,145,9,249369,2,4616888.914285715
user_1010,4,10,250064,2,26477364.70588235
user_1011,635,1,2759,1,1493.593984962406
user_1012,19,7,96805,0,4978542.857142857
user_1013,203,7,127991,0,1384280.3433476395
user_1015,141,9,209087,2,3961648.4210526315
user_1016,295,5,96024,3,531825.2307692308
user_1017,314,2,65223,3,136513.2558139535
user_1018,293,7,197485,0,1540749.8452012383
user_1019,5,5,127551,0,6559765.714285714
user_102,318,1,31827,3,32924.48275862069
user_1021,48,10,276274,2,12751107.692307692
user_1022,708,2,74494,1,72677.0731707317
user_1023,264,10,326909,2,4002967.3469387754
user_1024,91,10,195797,2,5825365.289256198
user_1025,358,3,65623,1,182661.95876288658
user_1026,124,7,111637,0,1826787.2727272725
user_1027,184,4,95107,3,639972.3364485981
user_1028,469,2,16646,1,24018.276553106214
user_1029,49,7,108868,0,3472751.3924050634
user_103,9,10,209006,2,19292861.538461536
user_1030,124,5,131523,0,1537281.8181818181
user_1031,386,2,36732,1,63574.61538461538
user_1032,44,8,168168,0,6544916.756756756
user_1033,69,2,61231,3,445316.36363636365
user_1034,54,10,229120,2,9819428.571428573
user_1035,80,9,219219,2,6456996.0
user_1036,34,5,117826,0,3313856.25
user_1037,463,3,86997,1,190581.66328600404
user_1038,79,10,231683,2,7651915.596330275
user_1039,22,9,185692,2,11570040.0
user_104,290,2,77880,3,175230.0
user_1040,9,9,243560,2,20234215.384615384
user_1041,92,6,163375,0,2892540.9836065574
user_1042,18,8,193720,2,11623200.0
user_1043,184,9,217935,2,3299576.6355140186
user_1044,42,8,221090,2,8843600.0
user_1045,6,3,44688,3,1340640.0
user_1046,32,5,97525,0,2831370.967741936
user_1047,79,8,183465,2,4847515.596330275
user_1048,140,8,194399,2,3293347.7647058824
user_1049,18,8,232257,2,13935420.0
user_105,154,3,54936,3,322450.43478260865
user_1050,18,5,131387,0,4927012.5
user_1051,168,5,176321,0,1602918.1818181819
user_1052,481,3,34260,1,72408.61056751467
user_1053,699,1,35668,1,17613.827160493827
user_1054,271,4,104429,3,499593.8870431894
user_1055,16,10,252122,2,19731286.956521742
user_1057,26,4,97422,0,2505137.1428571427
user_1058,124,4,111955,3,1046851.948051948
user_1059,293,7,194015,0,1513677.3993808047
user_106,59,9,224283,2,8164909.213483145
user_1060,305,7,154900,0,1165217.9104477612
user_1061,21,9,242607,2,15412680.0
user_1062,18,5,141735,0,5315062.5
user_1063,11,9,197843,2,15634422.43902439
user_1064,24,10,299628,2,19975200.0
user_1065,509,1,3555,1,2374.3970315398888
user_1066,51,4,116617,0,2073191.111111111
user_1067,64,9,236289,2,8144429.361702127
user_1068,93,9,210458,2,5543771.707317074
user_1069,805,1,33775,1,14561.676646706588
user_107,18,1,26259,3,196942.5
user_1070,154,10,193040,2,3776869.565217391
user_1071,298,8,239502,2,2102944.3902439023
user_1072,67,6,159010,0,3540841.237113402
user_1073,86,8,95947,0,2382132.4137931033
user_1074,269,2,36438,3,87743.67892976588
user_1075,253,6,154347,0,1178054.8409893992
user_1076,333,3,79923,3,237787.43801652893
user_1077,148,10,305233,2,6173251.685393258
user_1078,405,8,189899,2,1257262.3448275863
user_1079,40,9,286469,2,13259422.285714287
user_108,272,4,62075,3,295986.7549668874
user_1081,238,8,190168,2,2043596.4179104478
