client_id,recency,frequency,monetary
user_1,373,5,101618
user_10,226,6,239816
user_100,244,7,155838
user_1001,78,7,185446
user_1002,76,7,207102
user_1003,113,10,182870
user_1004,23,9,101292
user_1005,20,5,175237
user_1006,79,4,124336
user_1007,31,3,74221
user_1008,98,4,104910
user_1009,13,9,193213
user_101,145,9,249369
user_1010,4,10,250064
user_1011,635,1,2759
user_1012,19,7,96805
user_1013,203,7,127991
user_1015,141,9,209087
user_1016,295,5,96024
user_1017,314,2,65223
user_1018,293,7,197485
user_1019,5,5,127551
user_102,318,1,31827
user_1021,48,10,276274
user_1022,708,2,74494
user_1023,264,10,326909
user_1024,91,10,195797
user_1025,358,3,65623
user_1026,124,7,111637
user_1027,184,4,95107
user_1028,469,2,16646
user_1029,49,7,108868
user_103,9,10,209006
user_1030,124,5,131523
user_1031,386,2,36732
user_1032,44,8,168168
user_1033,69,2,61231
user_1034,54,10,229120
user_1035,80,9,219219
user_1036,34,5,117826
user_1037,463,3,86997
user_1038,79,10,231683
user_1039,22,9,185692
user_104,290,2,77880
user_1040,9,9,243560
user_1041,92,6,163375
user_1042,18,8,193720
user_1043,184,9,217935
user_1044,42,8,221090
user_1045,6,3,44688
user_1046,32,5,97525
user_1047,79,8,183465
user_1048,140,8,194399
user_1049,18,8,232257
user_105,154,3,54936
user_1050,18,5,131387
user_1051,168,5,176321
user_1052,481,3,34260
user_1053,699,1,35668
user_1054,271,4,104429
user_1055,16,10,252122
user_1057,26,4,97422
user_1058,124,4,111955
user_1059,293,7,194015
user_106,59,9,224283
user_1060,305,7,154900
user_1061,21,9,242607
user_1062,18,5,141735
user_1063,11,9,197843
user_1064,24,10,299628
user_1065,509,1,3555
user_1066,51,4,116617
user_1067,64,9,236289
user_1068,93,9,210458
user_1069,805,1,33775
user_107,18,1,26259
user_1070,154,10,193040
user_1071,298,8,239502
user_1072,67,6,159010
user_1073,86,8,95947
user_1074,269,2,36438
user_1075,253,6,154347
user_1076,333,3,79923
user_1077,148,10,305233
user_1078,405,8,189899
user_1079,40,9,286469
user_108,272,4,62075
user_1081,238,8,190168
user_1082,764,1,19755
user_1083,44,6,225301
user_1084,186,5,85442
user_1085,118,10,279525
user_1086,98,3,39205
user_1087,13,7,205515
user_1088,166,2,53081
user_1090,312,1,47087
user_1091,147,4,89716
user_1092,67,9,201854
user_1093,112,7,173347
user_1094,128,5,128981
user_1095,143,10,224046
user_1096,173,3,90644
user_1097,70,8,150491
user_1098,121,10,239757
user_1099,13,7,169035
user_11,41,9,290707
user_110,85,7,131487
user_1100,240,7,199191
user_1101,69,5,194590
user_1102,286,4,122393
user_1103,376,1,13470
user_1104,135,7,146823
user_1105,163,8,237372
user_1106,8,8,193126
user_1107,147,8,208290
user_1108,429,1,34892
user_1109,215,3,87871
user_111,246,3,28220
user_1110,43,9,284909
user_1111,151,8,159471
user_1112,63,6,104321
user_1114,100,8,155680
user_1115,5,2,94005
user_1116,27,2,62294
user_1117,107,8,202454
user_1118,264,3,58821
user_1119,28,10,262448
user_1120,680,1,21763
user_1121,108,3,63922
user_1122,101,10,293894
user_1123,277,1,3719
