client_id,purchase_date,purchase_amount,transaction_id,age,gender,region,traffic_source,last_visit_date,page_views,cart_adds
user_1,2023-11-27,20872,txn_1_1,45,Ж,Санкт-Петербург,Поиск (organic),2025-03-31,37,2
user_1,2024-03-04,15437,txn_1_2,45,Ж,Санкт-Петербург,Поиск (organic),2025-03-31,37,2
user_1,2024-02-10,2883,txn_1_3,45,Ж,Санкт-Петербург,Поиск (organic),2025-03-31,37,2
user_1,2024-03-23,41879,txn_1_4,45,Ж,Санкт-Петербург,Поиск (organic),2025-03-31,37,2
user_1,2024-03-16,20547,txn_1_5,45,Ж,Санкт-Петербург,Поиск (organic),2025-03-31,37,2
user_2,2023-05-04,12482,txn_2_1,23,Ж,Казань,Поиск (organic),2025-04-01,11,0
user_2,2023-01-29,21154,txn_2_2,23,Ж,Казань,Поиск (organic),2025-04-01,11,0
user_2,2023-04-03,26334,txn_2_3,23,Ж,Казань,Поиск (organic),2025-04-01,11,0
user_3,2024-03-16,33416,txn_3_1,65,М,Казань,Email-рассылка,2025-03-28,13,5
user_4,2023-01-11,23495,txn_4_1,35,М,Санкт-Петербург,Поиск (organic),2025-03-19,8,5
user_4,2023-01-14,10192,txn_4_2,35,М,Санкт-Петербург,Поиск (organic),2025-03-19,8,5
user_4,2024-03-18,4287,txn_4_3,35,М,Санкт-Петербург,Поиск (organic),2025-03-19,8,5
user_4,2023-07-06,33833,txn_4_4,35,М,Санкт-Петербург,Поиск (organic),2025-03-19,8,5
user_5,2024-05-14,32967,txn_5_1,29,Ж,Новосибирск,Google Ads,2025-03-25,42,2
user_5,2023-03-05,11299,txn_5_2,29,Ж,Новосибирск,Google Ads,2025-03-25,42,2
user_5,2025-03-11,22514,txn_5_3,29,Ж,Новосибирск,Google Ads,2025-03-25,42,2
user_6,2024-05-12,11751,txn_6_1,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2023-11-11,6973,txn_6_2,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2023-10-22,21497,txn_6_3,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2024-01-25,29858,txn_6_4,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2024-06-26,17674,txn_6_5,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2024-01-18,24693,txn_6_6,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2024-07-10,31345,txn_6_7,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2023-02-28,49465,txn_6_8,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2023-12-15,30735,txn_6_9,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_6,2024-02-24,45408,txn_6_10,44,Ж,Екатеринбург,ВКонтакте,2025-03-26,4,1
user_7,2025-02-25,12579,txn_7_1,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2024-05-10,4851,txn_7_2,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2024-09-05,20471,txn_7_3,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2023-09-30,44240,txn_7_4,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2025-02-04,36514,txn_7_5,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2023-07-16,28507,txn_7_6,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2023-05-18,40105,txn_7_7,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_7,2024-10-09,38191,txn_7_8,54,Ж,Санкт-Петербург,Поиск (organic),2025-04-03,28,8
user_8,2024-05-02,45060,txn_8_1,18,М,Санкт-Петербург,Поиск (organic),2025-03-26,4,3
user_8,2025-01-28,20406,txn_8_2,18,М,Санкт-Петербург,Поиск (organic),2025-03-26,4,3
user_9,2023-06-18,23708,txn_9_1,46,М,Казань,Яндекс.Директ,2025-03-30,30,6
user_9,2024-05-12,28824,txn_9_2,46,М,Казань,Яндекс.Директ,2025-03-30,30,6
user_9,2023-11-29,38020,txn_9_3,46,М,Казань,Яндекс.Директ,2025-03-30,30,6
user_9,2024-09-12,36059,txn_9_4,46,М,Казань,Яндекс.Директ,2025-03-30,30,6
user_9,2024-06-03,17405,txn_9_5,46,М,Казань,Яндекс.Директ,2025-03-30,30,6
user_10,2024-06-13,43306,txn_10_1,62,Ж,Екатеринбург,Google Ads,2025-03-14,37,7
user_10,2023-11-14,37896,txn_10_2,62,Ж,Екатеринбург,Google Ads,2025-03-14,37,7
