date,platform,spend,impressions,clicks
2024-02-15,Поиск (organic),99316,297948,11948
2025-02-07,Поиск (organic),15895,15895,279
2023-02-12,Email-рассылка,27216,81648,3229
2023-10-31,ВКонтакте,80522,80522,1402
2023-06-04,Email-рассылка,99447,198894,4392
2023-05-22,Поиск (organic),44728,134184,4945
2025-03-25,ВКонтакте,86673,260019,5490
2023-12-28,ВКонтакте,89427,178854,4917
2024-06-29,Google Ads,30503,61006,1267
2025-02-28,Яндекс.Директ,42033,42033,1974
2024-05-19,ВКонтакте,47638,47638,1107
2024-03-17,ВКонтакте,44347,88694,1948
2025-03-21,Google Ads,77072,154144,2800
2023-08-24,Яндекс.Директ,47270,94540,1252
2025-01-08,Яндекс.Директ,93931,281793,4743
2023-07-25,Google Ads,71765,143530,2545
2024-03-04,Email-рассылка,17922,17922,662
2024-11-13,ВКонтакте,16320,16320,740
2023-10-31,Яндекс.Директ,77314,231942,10465
2024-10-13,Email-рассылка,27139,54278,1612
2025-03-22,Яндекс.Директ,66336,199008,9777
2024-10-16,Google Ads,43231,86462,3480
2023-10-05,ВКонтакте,6258,12516,380
2023-07-23,Google Ads,15399,15399,583
2023-09-02,Google Ads,11033,22066,560
2024-05-24,Email-рассылка,42611,127833,1379
2024-09-03,Google Ads,89161,89161,1765
2024-09-07,ВКонтакте,25591,76773,3251
2024-12-06,Email-рассылка,34964,69928,2348
2024-11-23,Поиск (organic),82593,165186,2537
2023-07-08,Поиск (organic),28495,56990,2278
2023-06-04,Поиск (organic),21450,21450,664
2023-08-25,ВКонтакте,91612,274836,11070
2024-05-09,Google Ads,71109,71109,1254
2024-09-27,Google Ads,56749,170247,5604
2023-09-05,ВКонтакте,9673,9673,391
2023-10-03,Email-рассылка,81761,163522,3127
2023-11-20,Яндекс.Директ,81564,81564,1182
2024-11-03,Email-рассылка,94791,284373,2950
2024-08-16,ВКонтакте,47154,94308,1583
2023-03-24,ВКонтакте,32029,96087,2069
